campaign_id,campaign_name,cell_id,manifest_path,workload_id,plan_id,run_id,replicate_idx,status,planner_budget,repeat_count_hint,measurement_repeats,autotune,reuse_cache,execution_source,graph_mode,ttfr_s,steady_iter_ms,wall_s,gpu_seconds,predicted_ttfr_s,predicted_iter_ms,predicted_gpu_seconds,planner_share_pct,launch_share_pct,contract_share_pct,profile_candidate_nsys,profile_candidate_ncu
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_6c2fe6b56cad1e5e,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_dense_ring6_batched.yaml,wkl_977f16a92f06596a,plan_03b84711f6974834,run_b52bd7cced01869e,0,runtime_error,balanced,32,3,True,True,cuquantum_tensornet_gpu,warm_only,,,,,3.076834,11.219884,3.42465,,,,False,False
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_6c2fe6b56cad1e5e,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_dense_ring6_batched.yaml,wkl_977f16a92f06596a,plan_03b84711f6974834,run_92ece5add0c141ea,1,runtime_error,balanced,32,3,True,True,cuquantum_tensornet_gpu,warm_only,,,,,3.076834,11.219884,3.42465,,,,False,False
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_6c2fe6b56cad1e5e,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_dense_ring6_batched.yaml,wkl_977f16a92f06596a,plan_03b84711f6974834,run_ac796eda5d4cb294,2,runtime_error,balanced,32,3,True,True,cuquantum_tensornet_gpu,warm_only,,,,,3.076834,11.219884,3.42465,,,,False,False
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_ad725a685d33c616,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_ghz3_amplitude.yaml,wkl_34730574a768505b,plan_ff6be35fef925b40,run_d2c153e3f41ce189,0,runtime_error,balanced,8,3,True,True,cuquantum_tensornet_gpu,steady_state,,,,,2.642871,8.782079,2.704346,,,,False,False
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_ad725a685d33c616,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_ghz3_amplitude.yaml,wkl_34730574a768505b,plan_ff6be35fef925b40,run_9b11fee687c833dd,1,runtime_error,balanced,8,3,True,True,cuquantum_tensornet_gpu,steady_state,,,,,2.642871,8.782079,2.704346,,,,False,False
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_ad725a685d33c616,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_ghz3_amplitude.yaml,wkl_34730574a768505b,plan_ff6be35fef925b40,run_ad574ba6ee1cc335,2,runtime_error,balanced,8,3,True,True,cuquantum_tensornet_gpu,steady_state,,,,,2.642871,8.782079,2.704346,,,,False,False
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_bc7b0ee31f86c44f,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_ghz3_amplitude.yaml,wkl_34730574a768505b,plan_49616549e767c21b,run_508cd5e284e5fb38,0,success,balanced,8,3,True,True,cuquantum_tensornet_gpu,off,0.053314678,0.211235,0.055150325,0.055150325,2.642871,8.782079,2.704346,,,,True,True
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_bc7b0ee31f86c44f,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_ghz3_amplitude.yaml,wkl_34730574a768505b,plan_49616549e767c21b,run_5f41c368e0356d5c,1,success,balanced,8,3,True,True,cuquantum_tensornet_gpu,off,0.018582671,0.178176,0.019927812,0.019927812,2.642871,8.782079,2.704346,,,,True,True
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_bc7b0ee31f86c44f,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_ghz3_amplitude.yaml,wkl_34730574a768505b,plan_49616549e767c21b,run_ba7c76b91120359b,2,success,balanced,8,3,True,True,cuquantum_tensornet_gpu,off,0.015765362,0.129815,0.016850681,0.016850681,2.642871,8.782079,2.704346,,,,True,True
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_ceea3d2edf761575,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_dense_ring6_batched.yaml,wkl_50dd86db6abd0bfa,plan_b97efcf74c6f1ba3,run_868e31a33099ceb1,0,runtime_error,balanced,8,3,True,True,cuquantum_tensornet_gpu,steady_state,,,,,3.076834,11.219884,3.155373,,,,False,False
camp_f8d4f8227f3c256c,cuda_graphs_ablation_v1,cell_ceea3d2edf761575,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/real_dense_ring6_batched.yaml,wkl_50dd86db6abd0bfa,plan_b97efcf74c6f1ba3,run_c767caf671c5b61d,1,runtime_error,balanced,8,3,True,True,cuquantum_tensornet_gpu,steady_state,,,,,3.076834,11.219884,3.155373,,,,False,False
