workload_id,manifest_path,pair_mode,left_template,right_template,delta_mean_s,delta_median_s,delta_stdev_s,ci_half_width_ms,left_ttfr_median_ms,left_ttfr_stdev_ms,right_ttfr_median_ms,right_ttfr_stdev_ms,conclusion,pair_summary_path
wkl_888bce118ad39b04,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/01_real_dense_ring6_amplitude.yaml,interleaved,quick_turnaround,quick_turnaround,0.00320345,-0.002560664,0.017888803,11.687,60.19,3.374,59.401,18.897,inconclusive_vs_variance,/home/ubuntu/quantum-workload-architecture/artifacts/ttfr_noise_floor/ovh_ttfr_noise_floor_v1/pairs/01_real_dense_ring6_amplitude/quick_turnaround_null_pair/01_real_dense_ring6_amplitude.quick_turnaround_vs_quick_turnaround.pair_summary.json
wkl_e48c87cb8bd59349,/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/08_parity_iqp_batched_heldout_medium.yaml,interleaved,quick_turnaround,quick_turnaround,-0.023230519,0.001280024,0.073611299,48.093,62.208,77.164,65.618,9.963,inconclusive_vs_variance,/home/ubuntu/quantum-workload-architecture/artifacts/ttfr_noise_floor/ovh_ttfr_noise_floor_v1/pairs/08_parity_iqp_batched_heldout_medium/quick_turnaround_null_pair/08_parity_iqp_batched_heldout_medium.quick_turnaround_vs_quick_turnaround.pair_summary.json
