manifest_path,manifest_name,mode,session_label,sequence_name,request_ordinal,cli_wall_s,session_total_s,driver_total_s,outer_driver_overhead_s,execute_plan_bundle_s,worker_startup_s,worker_request_dispatch_s,worker_execute_s,worker_reply_s,execution_wall_s,import_real_stack_s,network_build_s,selected_plan_id,selection_source,correctness_status,execution_mode,worker_session_id,worker_warm,worker_request_index,persistent_used,fallback_used,bundle_hit
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/01_real_dense_ring6_amplitude.yaml,01_real_dense_ring6_amplitude.yaml,persistent_warm_bundle,01_real_dense_ring6_amplitude.rep2,,2,0.606732276,0.606732276,0.265099794,0.197654431,0.072208975,1.146967493,0.000325102,0.069976662,3.325e-06,0.067445363,0.0,0.012347856,plan_9681ead327789de4,plan_bundle_reuse,pass,persistent_executor,wrk_b7f34e1577b5a66a,True,2,True,False,True
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/01_real_dense_ring6_amplitude.yaml,01_real_dense_ring6_amplitude.yaml,fresh,,,,2.220714606,2.220714606,1.519690327,1.470007162,0.051699457,0.0,0.0,0.0,0.0,0.049683165,7.914e-06,0.006500135,plan_9681ead327789de4,plan_rank,pass,direct_executor,,,,False,False,False
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/01_real_dense_ring6_amplitude.yaml,01_real_dense_ring6_amplitude.yaml,plan_json,,,,2.191995948,2.191995948,1.510367448,1.459719862,0.052678455,0.0,0.0,0.0,0.0,0.050647586,9.187e-06,0.006678211,plan_9681ead327789de4,plan_override,pass,direct_executor,,,,False,False,False
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/01_real_dense_ring6_amplitude.yaml,01_real_dense_ring6_amplitude.yaml,one_shot_bundle,,,,2.068693684,2.068693684,1.359672398,1.06313061,1.243160715,0.0,0.0,0.0,0.0,0.296541788,0.944569423,0.111140902,plan_9681ead327789de4,plan_bundle_reuse,pass,direct_executor,,,,False,False,False
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/01_real_dense_ring6_amplitude.yaml,01_real_dense_ring6_amplitude.yaml,persistent_cold_bundle,01_real_dense_ring6_amplitude.rep3,,1,0.863246558,1.9388799580000002,0.418321958,0.186013414,0.237965829,1.0756334,0.00036011,0.235006149,2.899e-06,0.232308544,0.0,0.160081734,plan_9681ead327789de4,plan_bundle_reuse,pass,persistent_executor,wrk_c57d7b159fae2cf8,False,1,True,False,True
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/01_real_dense_ring6_amplitude.yaml,01_real_dense_ring6_amplitude.yaml,persistent_warm_bundle,01_real_dense_ring6_amplitude.rep3,,2,0.673969504,0.673969504,0.296250533,0.202785911,0.099389406,1.0756334,0.000315795,0.096163101,3.042e-06,0.093464622,0.0,0.018697492,plan_9681ead327789de4,plan_bundle_reuse,pass,persistent_executor,wrk_c57d7b159fae2cf8,True,2,True,False,True
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/01_real_dense_ring6_amplitude.yaml,01_real_dense_ring6_amplitude.yaml,fresh,,,,2.239146102,2.239146102,1.53055182,1.481319841,0.051204205,0.0,0.0,0.0,0.0,0.049231979,8.751e-06,0.006395039,plan_9681ead327789de4,plan_rank,pass,direct_executor,,,,False,False,False
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/01_real_dense_ring6_amplitude.yaml,01_real_dense_ring6_amplitude.yaml,plan_json,,,,2.049541867,2.049541867,1.325886218,1.276891569,0.051081257,0.0,0.0,0.0,0.0,0.048994649,9.248e-06,0.006445593,plan_9681ead327789de4,plan_override,pass,direct_executor,,,,False,False,False
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/01_real_dense_ring6_amplitude.yaml,01_real_dense_ring6_amplitude.yaml,one_shot_bundle,,,,2.151972265,2.151972265,1.4624964,1.076845382,1.315280621,0.0,0.0,0.0,0.0,0.385651018,0.927511981,0.109418411,plan_9681ead327789de4,plan_bundle_reuse,pass,direct_executor,,,,False,False,False
/home/ubuntu/quantum-workload-architecture/workloads/manifests/imported/ovh_v2/01_real_dense_ring6_amplitude.yaml,01_real_dense_ring6_amplitude.yaml,persistent_cold_bundle,01_real_dense_ring6_amplitude.rep4,,1,0.82917796,1.858843095,0.416155647,0.185838105,0.236181535,1.029665135,0.000337268,0.233065203,2.645e-06,0.230317542,0.0,0.15800078,plan_9681ead327789de4,plan_bundle_reuse,pass,persistent_executor,wrk_447c5a463e50b507,False,1,True,False,True
